0	40	10	7	4	3	6	2	4	1	4	3	1	1	3	6	10	11	14	26	15	6	7	2	2	4	0	3	1	2	1	4	3	2	7	8	5	5	10	3	5	6	6	3	3	2	3	3	3	1	3	1	3	4	3	2	3	1	6	3	4	5	2	1	2	0	3	2	1	3	1	1	1	2	4	3	4	2	4	3	2	1	1	0	5	1	2	1	1	1	0	1	0	1	1	1	5	1	1	0
40	0	37	11	7	8	9	7	1	6	3	3	4	0	5	2	4	12	13	18	23	16	11	5	3	1	1	2	2	4	0	8	3	2	1	5	3	6	8	8	9	4	4	1	1	2	1	1	0	2	2	1	2	3	5	4	5	4	3	5	4	7	4	1	3	1	3	3	1	1	1	3	4	0	3	1	2	4	2	3	1	1	0	2	0	1	1	1	0	0	3	1	2	4	3	3	2	0	2	4
10	37	0	32	18	11	2	7	5	4	0	1	3	6	3	5	6	3	6	15	26	16	14	11	3	4	4	4	3	2	2	5	1	1	3	3	5	8	2	8	4	6	3	3	5	7	5	2	1	3	3	1	0	4	6	3	1	5	2	1	3	5	6	1	1	5	2	1	3	2	2	0	1	1	0	1	6	0	3	2	1	1	2	2	6	1	2	1	5	2	2	1	1	0	4	4	2	1	2	1
7	11	32	0	35	22	9	5	4	2	3	3	3	5	3	1	6	4	5	7	5	19	26	16	9	6	4	2	3	6	3	2	0	4	1	2	3	1	8	9	9	7	7	6	6	3	1	1	3	0	1	1	1	1	4	4	8	4	5	7	2	6	4	2	1	2	4	0	0	1	2	0	2	0	4	1	4	4	2	2	4	4	3	1	4	1	0	0	2	2	2	3	1	1	1	0	1	2	5	3
4	7	18	35	0	45	17	6	6	4	2	0	1	2	2	1	3	1	3	4	8	14	14	23	7	8	5	4	7	1	1	4	1	3	3	3	4	3	2	9	5	5	5	8	8	3	4	3	5	2	0	3	4	1	2	4	4	0	4	3	8	3	5	7	1	2	3	1	0	2	1	1	2	1	4	1	3	3	4	2	1	4	2	3	3	4	0	0	0	2	1	2	2	4	1	1	1	2	1	1
3	8	11	22	45	0	40	12	7	7	4	4	3	2	2	1	3	4	1	5	6	4	10	30	24	7	11	7	6	5	6	3	2	3	3	5	3	3	2	5	7	4	8	6	8	6	7	2	5	6	1	1	0	2	5	1	1	2	3	4	4	3	6	1	4	2	2	3	1	2	2	3	0	1	1	1	2	4	0	5	5	2	1	2	0	0	2	2	1	2	1	2	1	1	3	1	3	1	2	1
6	9	2	9	17	40	0	46	14	12	4	6	5	2	5	0	2	1	7	0	6	5	7	9	17	19	14	11	9	3	3	3	5	1	4	2	2	3	2	4	4	8	5	6	9	6	3	3	2	4	4	4	2	4	3	5	3	1	2	1	6	1	8	6	4	1	6	0	5	2	4	4	2	1	0	4	0	1	2	2	2	2	2	1	2	3	2	1	0	2	2	3	1	1	2	1	1	1	2	1
2	7	7	5	6	12	46	0	44	19	5	6	2	6	3	6	1	4	8	3	2	3	5	8	17	18	20	14	7	9	3	3	1	4	0	1	4	2	4	3	4	3	4	4	10	6	6	5	6	1	5	4	2	2	4	3	4	2	3	0	4	2	7	2	6	3	4	4	1	4	3	2	2	2	2	1	2	4	0	1	4	2	2	3	7	2	3	2	2	1	2	1	1	3	0	0	1	3	2	1
4	1	5	4	6	7	14	44	0	39	12	6	5	5	2	2	5	2	3	4	4	3	5	3	8	15	16	20	18	5	4	3	4	0	2	0	2	1	5	1	4	3	12	9	9	7	11	11	2	2	7	1	2	1	2	2	4	3	5	3	1	3	3	3	6	5	5	1	3	2	1	5	2	4	2	3	1	3	0	3	5	3	3	2	9	6	1	0	3	4	0	0	0	2	4	0	2	3	3	1
1	6	4	2	4	7	12	19	39	0	28	22	7	8	4	4	2	3	5	4	2	3	3	1	8	11	9	15	17	20	10	5	2	0	1	3	7	1	1	3	2	5	5	7	1	2	8	13	4	10	4	4	3	5	2	1	3	3	1	2	6	5	7	4	5	7	6	3	5	1	0	2	1	1	1	3	2	1	2	1	2	0	2	1	0	7	1	1	2	3	1	0	1	3	1	2	2	2	2	3
4	3	0	3	2	4	4	5	12	28	0	45	17	4	5	5	4	2	1	3	5	2	0	2	5	9	4	14	19	25	13	7	2	3	3	2	3	3	3	1	2	1	5	1	1	3	4	10	7	3	7	2	5	3	1	3	3	5	4	1	1	2	2	2	2	2	0	4	4	3	2	0	0	2	5	0	3	1	5	3	1	4	4	5	2	1	5	3	6	2	3	0	3	0	3	1	3	4	0	2
3	3	1	3	0	4	6	6	6	22	45	0	36	8	4	4	4	4	3	5	1	3	3	2	2	7	4	7	6	19	23	15	6	9	5	3	2	4	2	1	0	2	3	1	3	7	7	4	9	5	6	5	2	2	2	0	6	1	3	1	1	5	2	5	2	5	5	4	4	4	3	2	0	3	0	2	1	2	0	2	2	0	2	2	2	6	5	2	6	4	2	3	2	2	2	1	4	2	0	0
1	4	3	3	1	3	5	2	5	7	17	36	0	32	21	6	4	3	5	2	0	1	5	2	1	5	3	8	9	10	17	15	20	10	9	4	2	2	2	3	4	2	0	7	3	6	5	5	5	4	10	8	7	2	1	2	2	7	0	2	2	1	3	1	2	4	4	3	2	7	3	2	3	2	1	3	4	2	2	3	1	0	1	3	4	0	2	5	2	6	3	4	1	4	0	2	0	3	2	2
1	0	6	5	2	2	2	6	5	8	4	8	32	0	26	11	9	9	6	3	7	6	3	6	5	4	5	2	6	7	5	21	20	16	10	5	8	5	4	2	0	3	2	2	2	2	3	7	2	5	5	11	7	2	4	4	5	0	2	3	2	3	1	3	1	4	2	5	2	6	6	7	0	6	4	3	2	3	2	3	1	3	3	1	0	4	3	2	4	1	1	0	3	3	1	3	0	1	0	0
3	5	3	3	2	2	5	3	2	4	5	4	21	26	0	32	13	11	3	1	2	1	3	1	7	3	7	8	4	8	10	7	17	16	14	5	5	3	4	3	1	4	5	4	6	3	4	4	3	4	6	8	8	11	6	2	2	2	2	3	1	1	3	3	2	2	4	0	3	4	4	3	4	2	2	4	2	3	1	3	1	2	1	1	0	0	1	2	2	4	2	2	4	4	0	0	3	0	3	2
6	2	5	1	1	1	0	6	2	4	5	4	6	11	32	0	35	8	5	4	4	4	0	5	3	3	3	5	3	6	7	5	12	22	22	10	8	8	5	1	2	2	2	0	3	1	0	4	2	7	10	9	5	8	3	2	4	3	6	0	0	2	3	1	3	2	2	3	6	3	2	3	6	7	3	2	4	2	2	0	3	0	2	4	1	0	2	1	2	3	4	2	0	2	1	1	2	0	3	2
10	4	6	6	3	3	2	1	5	2	4	4	4	9	13	35	0	29	15	6	6	8	3	3	2	1	4	2	1	5	4	7	10	11	15	15	15	5	3	5	5	2	2	2	1	5	3	0	0	3	4	7	9	7	7	7	7	0	1	1	3	2	3	0	1	5	0	1	5	2	6	3	8	4	6	5	4	2	3	1	3	3	1	6	3	0	0	6	0	3	2	6	2	2	3	2	1	0	2	0
11	12	3	4	1	4	1	4	2	3	2	4	3	9	11	8	29	0	39	15	6	1	1	1	1	2	2	2	2	1	3	4	6	11	8	17	24	12	10	4	9	0	3	3	1	1	1	3	1	3	2	4	5	6	6	10	6	6	9	2	0	2	2	0	5	1	2	2	1	3	2	4	5	6	10	3	1	3	1	3	1	1	2	0	3	3	3	0	1	4	2	0	3	7	5	3	5	3	1	2
14	13	6	5	3	1	7	8	3	5	1	3	5	6	3	5	15	39	0	47	11	5	3	2	2	3	3	3	3	4	2	2	1	5	11	9	13	27	17	7	6	2	1	6	2	1	2	3	3	3	4	3	2	1	9	9	7	5	5	2	1	2	3	0	0	2	2	8	4	1	4	1	2	4	6	5	9	4	4	2	0	3	3	1	2	3	3	2	4	1	6	1	2	3	0	3	6	2	6	0
26	18	15	7	4	5	0	3	4	4	3	5	2	3	1	4	6	15	47	0	32	16	5	7	2	2	2	6	1	3	2	3	5	4	7	9	10	28	16	14	8	8	4	0	0	1	2	5	3	4	1	5	0	4	4	6	2	10	5	8	3	3	3	2	1	1	2	1	1	0	1	2	5	3	6	8	7	1	7	3	4	5	1	0	1	3	3	3	1	3	3	3	2	3	4	2	1	2	2	2
15	23	26	5	8	6	6	2	4	2	5	1	0	7	2	4	6	6	11	32	0	32	15	13	8	4	3	5	4	6	1	2	4	4	4	7	7	8	17	28	8	10	5	3	5	1	1	3	1	2	0	6	2	4	6	4	7	6	7	7	5	4	4	3	3	2	4	0	2	1	3	3	4	4	7	7	5	4	4	2	1	4	3	1	2	2	2	1	0	0	0	1	1	1	3	4	1	0	3	1
6	16	16	19	14	4	5	3	3	3	2	3	1	6	1	4	8	1	5	16	32	0	33	10	9	6	1	4	0	4	4	3	4	6	3	2	5	5	8	25	28	11	7	5	3	4	4	2	3	2	1	3	3	2	5	2	3	5	6	6	9	3	3	4	4	3	7	4	2	3	2	3	1	3	3	3	7	6	9	0	4	5	3	2	6	2	2	2	3	2	2	2	2	1	6	3	5	4	1	1
7	11	14	26	14	10	7	5	5	3	0	3	5	3	3	0	3	1	3	5	15	33	0	30	16	6	5	6	8	3	3	5	0	3	3	4	6	5	3	18	24	11	16	4	8	5	2	2	1	4	2	0	1	2	3	1	2	7	7	15	10	7	5	2	4	6	3	1	1	1	6	1	2	2	4	1	6	6	5	4	7	4	3	4	1	4	2	2	1	1	2	3	1	1	0	6	2	1	5	1
